;1  The first column is the upper electronic state 
;2  (2=Lyman (B-X), 3= Werner (C-X))
;3  nup is the upper vibrational level 
;4  npp is the lower vibrational level 
;5  Jup is the upper rotational level 
;6  Jpp is the lower rotational level 
;7  
;8
;9   nup  npp Jup Jpp      wave         f           gu     gamma         label  rank 
235 2   13   0   8   7   976.470   0.00194409   45   1.03720e+09   L13-0R(7)   13
236 2   13   0   6   7   979.880   0.00598823   45   9.14220e+08   L13-0P(7)   14
237 2   13   0   9   8   983.269   0.0170       17   9.0+e+08      L13-0R(8)   15
238 2   13   0   7   8   986.683   0.0075       17   9.0+e+08      L13-0P(8)   16
239 2   14   0   1   0   946.170   0.00124819   1   1.11540e+09    L14-0R(0)   0
240 2   14   0   2   1   946.980   0.0197184   9   9.99910e+08     L14-0R(1)   1
241 2   14   0   0   1   947.510   0.00349946   9   9.02200e+08    L14-0P(1)   2
242 2   14   0   3   2   948.470   0.0130282   5   9.43670e+08     L14-0R(2)   3
243 2   14   0   1   2   949.350   0.00891777   5   1.11540e+09    L14-0P(2)   4
244 2   14   0   4   3   950.820   0.0109785   21   9.08870e+08    L14-0R(3)   5
245 2   14   0   2   3   952.270   0.000650619   21   9.99910e+08  L14-0P(3)   6
246 2   14   0   5   4   954.000   0.0100059   9   9.02860e+08     L14-0R(4)   7
247 2   14   0   3   4   955.850   0.00170457   9   9.43670e+08    L14-0P(4)   8
248 2   14   0   6   5   958.010   0.00959406   33   8.82410e+08   L14-0R(5)   9
249 2   14   0   4   5   960.260   0.00226213   33   9.08870e+08   L14-0P(5)   10
250 2   14   0   7   6   962.820   0.00930091   13   8.77230e+08   L14-0R(6)   11
251 2   14   0   5   6   965.480   0.00260147   13   9.02860e+08   L14-0P(6)   12
252 2   14   0   8   7   968.410   0.00908261   45   8.69390e+08   L14-0R(7)   13
253 2   14   0   6   7   971.480   0.00294300   45   8.82410e+08   L14-0P(7)   14
254 2   14   0   9   8   974.764   0.0087       17   9.0e+08       L14-0R(8)   15
255 2   14   0   7   8   978.238   0.0033       17   9.0e+08       L14-0P(8)   16
256 2   15   0   1   0   938.470   0.00950677   1   8.64310e+08    L15-0R(0)   0
