@3@CO@K@v@J@p
#2264         # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Quantum number
#J            # Quantum number
#p            # Quantum number
# n      g       E(K)        v    J    p
#---data--------------------------------
 647    9.0 107074.313626    7    4    1
 648    9.0 107074.428761    7    4    0
 649   11.0 107095.003239    7    5    0
 650   11.0 107095.060748    7    5    1
 651   13.0 107119.850875    7    6    0
 652   13.0 107119.908376    7    6    1
 653   85.0 107145.915318    5   42    1
 654   85.0 107145.915775    5   42    0
 655   61.0 107148.852848    6   30    0
 656   15.0 107148.899732    7    7    0
 657   15.0 107148.914060    7    7    1
 658   61.0 107150.449602    6   30    1
 659   17.0 107182.005862    7    8    1
 660   17.0 107182.020317    7    8    0
 661   19.0 107219.241410    7    9    0
 662   19.0 107219.255722    7    9    1
 663   21.0 107260.620560    7   10    0
 664   21.0 107260.634863    7   10    1
 665   63.0 107278.241772    6   31    0
 666   63.0 107278.356573    6   31    1
 667   23.0 107306.143378    7   11    0
 668   23.0 107306.157672    7   11    1
 669   87.0 107326.379340    5   43    1
 670   87.0 107326.379814    5   43    0
 671   25.0 107355.780987    7   12    1
 672   25.0 107355.781090    7   12    0
 673   27.0 107409.533694    7   13    0
 674   27.0 107409.562358    7   13    1
 675   65.0 107411.472217    6   32    0
 676   65.0 107411.515067    6   32    1
 677   29.0 107467.401192    7   14    0
 678   29.0 107467.415459    7   14    1
 679   89.0 107510.865271    5   44    1
 680   89.0 107510.865762    5   44    0
 681   31.0 107529.369195    7   15    0
 682   31.0 107529.397841    7   15    1
 683   67.0 107548.443471    6   33    0
 684   67.0 107548.788451    6   33    1
 685   33.0 107595.480727    7   16    1
 686   33.0 107595.480866    7   16    0
 687   35.0 107665.721669    7   17    1
 688   35.0 107665.721818    7   17    0
 689   69.0 107688.616695    6   34    1
 690   69.0 107688.617035    6   34    0
 691   91.0 107699.361049    5   45    1
 692   91.0 107699.361556    5   45    0
 693   37.0 107739.962560    7   18    0
 694   37.0 107739.991177    7   18    1
 695   39.0 107818.332583    7   19    0
 696   39.0 107818.361191    7   19    1
 697   71.0 107834.077965    6   35    1
 698   71.0 107834.078319    6   35    0
 699   93.0 107891.854332    5   46    1
 700   93.0 107891.854858    5   46    0
 701   41.0 107900.803111    7   20    0
 702   41.0 107900.860483    7   20    1
 703   73.0 107983.577338    6   36    1
 704   73.0 107983.577705    6   36    0
 705   43.0 107987.374142    7   21    0
 706   43.0 107987.445893    7   21    1
 707   45.0 108078.002514    7   22    0
 708   45.0 108078.074254    7   22    1
 709   95.0 108088.332511    5   47    1
 710   95.0 108088.333054    5   47    0
 711   75.0 108137.104845    6   37    1
 712   75.0 108137.105227    6   37    0
 713   47.0 108172.659452    7   23    0
 714   47.0 108172.745570    7   23    1
