Proba d'emission B-X
  vu      ju      vl      jl     Proba d'emission(s-1)
 30       0      16       1      0.270482D+06
 31       0      16       1      0.101640D+07
 28       0      17       1      0.710009D+07
 29       0      17       1      0.882038D+07
 30       0      17       1      0.927678D+07
 31       0      17       1      0.817791D+07
 32       0       0       1      0.433805D+07
 33       0       0       1      0.364915D+07
 34       0       0       1      0.306607D+07
 35       0       0       1      0.256763D+07
 32       0       1       1      0.192204D+08
 33       0       1       1      0.168640D+08
 34       0       1       1      0.147248D+08
 35       0       1       1      0.127689D+08
 32       0       2       1      0.294856D+08
 33       0       2       1      0.276133D+08
 34       0       2       1      0.255624D+08
 35       0       2       1      0.233577D+08
 32       0       3       1      0.143042D+08
 33       0       3       1      0.154545D+08
 34       0       3       1      0.161474D+08
 35       0       3       1      0.163597D+08
 32       0       4       1      0.464139D+04
 33       0       4       1      0.152165D+06
 34       0       4       1      0.618886D+06
 35       0       4       1      0.125106D+07
 32       0       5       1      0.131546D+08
 33       0       5       1      0.101566D+08
 34       0       5       1      0.754929D+07
 35       0       5       1      0.538404D+07
 32       0       6       1      0.188107D+08
 33       0       6       1      0.185583D+08
 34       0       6       1      0.176136D+08
 35       0       6       1      0.161420D+08
 32       0       7       1      0.325085D+07
 33       0       7       1      0.517989D+07
 34       0       7       1      0.695996D+07
 35       0       7       1      0.836378D+07
 32       0       8       1      0.354935D+07
 33       0       8       1      0.152740D+07
 34       0       8       1      0.403015D+06
 35       0       8       1      0.972371D+04
 32       0       9       1      0.159729D+08
 33       0       9       1      0.133750D+08
 34       0       9       1      0.105630D+08
 35       0       9       1      0.786897D+07
 32       0      10       1      0.111613D+08
 33       0      10       1      0.126928D+08
 34       0      10       1      0.132348D+08
 35       0      10       1      0.128757D+08
 32       0      11       1      0.670690D+06
 33       0      11       1      0.214162D+07
 34       0      11       1      0.389736D+07
 35       0      11       1      0.551120D+07
 32       0      12       1      0.303013D+07
 33       0      12       1      0.108149D+07
 34       0      12       1      0.147514D+06
 35       0      12       1      0.389373D+05
 32       0      13       1      0.942983D+07
 33       0      13       1      0.689065D+07
 34       0      13       1      0.449643D+07
 35       0      13       1      0.255744D+07
 32       0      14       1      0.924793D+07
 33       0      14       1      0.867435D+07
 34       0      14       1      0.742610D+07
 35       0      14       1      0.585051D+07
 32       0      15       1      0.507649D+07
 33       0      15       1      0.581109D+07
 34       0      15       1      0.591225D+07
 35       0      15       1      0.548122D+07
 32       0      16       1      0.176652D+07
 33       0      16       1      0.247831D+07
 34       0      16       1      0.284033D+07
 35       0      16       1      0.296210D+07
 32       0      17       1      0.121007D+08
 33       0      17       1      0.915627D+07
 34       0      17       1      0.161325D+08
 35       0      17       1      0.121640D+08
 36       0       0       1      0.213570D+07
 37       0       0       1      0.175367D+07
 38       0       0       1      0.140176D+07
 39       0       0       1      0.105732D+07
 36       0       1       1      0.109596D+08
 37       0       1       1      0.925329D+07
 38       0       1       1      0.757683D+07
 39       0       1       1      0.582984D+07
 36       0       2       1      0.210029D+08
